fuñir,fuñó,1b
cerner,cernió,0c*
descaecer,descaeció,0c*
morder,mordió,0c*
condescender,condescendió,0c*
enloquecer,enloqueció,0c*
fosforescer,fosforesció,0c*
oscurecer,oscureció,0c*
anteceder,antecedió,0c*
corromper,corrompió,0c*
absolver,absolvió,0c*
desprender,desprendió,0c*
coser,cosió,0c*
desconocer,desconoció,0c*
desobedecer,desobedeció,0c*
absorber,absorbió,0c*
distender,distendió,0c*
devolver,devolvió,0c*
entumecer,entumeció,0c*
revolver,revolvió,0c*
padecer,padeció,0c*
desfavorecer,desfavoreció,0c*
preestablecer,preestableció,0c*
reestablecer,reestableció,0c*
empalidecer,empalideció,0c*
cometer,cometió,0c*
desperecer,despereció,0c*
sobrecoger,sobrecogió,0c*
desaprender,desaprendió,0c*
emprender,emprendió,0c*
descoger,descogió,0c*
reabsorber,reabsorbió,0c*
recorrer,recorrió,0c*
desabastecer,desabasteció,0c*
aprehender,aprehendió,0c*
promover,promovió,0c*
empecer,empeció,0c*
subentender,subentendió,0c*
torcer,torció,0c*
tender,tendió,0c*
emunger,emungió,0c*
esclarecer,esclareció,0c*
desenvolver,desenvolvió,0c*
fenecer,feneció,0c*
meter,metió,0c*
latir,latió,0d*
deludir,deludió,0d*
elidir,elidió,0d*
embustir,embustió,0d*
restringir,restringió,0d*
polir,polió,0d*
retrasmitir,retrasmitió,0d*
confligir,confligió,0d*
dividir,dividió,0d*
hundir,hundió,0d*
erigir,erigió,0d*
entreabrir,entreabrió,0d*
resumir,resumió,0d*
sobreescribir,sobreescribió,0d*
transigir,transigió,0d*
cumplir,cumplió,0d*
desinhibir,desinhibió,0d*
mimir,mimió,0d*
lucir,lució,0d*
discutir,discutió,0d*
desistir,desistió,0d*
definir,definió,0d*
reimprimir,reimprimió,0d*
negligir,negligió,0d*
resurgir,resurgió,0d*
crujir,crujió,0d*
urgir,urgió,0d*
refundir,refundió,0d*
radiodifundir,radiodifundió,0d*
ocurrir,ocurrió,0d*
carpir,carpió,0d*
abatir,abatió,0d*
exprimir,exprimió,0d*
descubrir,descubrió,0d*
sobrevivir,sobrevivió,0d*
resistir,resistió,0d*
fulgir,fulgió,0d*
aplaudir,aplaudió,0d*
enlucir,enlució,0d*
malparir,malparió,0d*
invadir,invadió,0d*
infundir,infundió,0d*
percutir,percutió,0d*
escurrir,escurrió,0d*
nudrir,nudrió,0d*
unir,unió,0d*
coludir,coludió,0d*
transfundir,transfundió,0d*
departir,departió,0d*
zurcir,zurció,0d*
expandir,expandió,0d*
deslucir,deslució,0d*
residir,residió,0d*
convivir,convivió,0d*
marcir,marció,0d*
consistir,consistió,0d*
fingir,fingió,0d*
esculpir,esculpió,0d*
salir,salió,0d*
tupir,tupió,0d*
incumplir,incumplió,0d*
sobrescribir,sobrescribió,0d*
rediscutir,rediscutió,0d*
adurir,adurió,0d*
eligir,eligió,0d*
subir,subió,0d*
prescribir,prescribió,0d*
transcribir,transcribió,0d*
engrupir,engrupió,0d*
coincidir,coincidió,0d*
redimir,redimió,0d*
inhibir,inhibió,0d*
bastir,bastió,0d*
recubrir,recubrió,0d*
trascribir,trascribió,0d*
ludir,ludió,0d*
inadmitir,inadmitió,0d*
extrudir,extrudió,0d*
batir,batió,0d*
permitir,permitió,0d*
emitir,emitió,0d*
sumir,sumió,0d*
encurtir,encurtió,0d*
desuscribir,desuscribió,0d*
redescubrir,redescubrió,0d*
copresidir,copresidió,0d*
ascondir,ascondió,0d*
urdir,urdió,0d*
asir,asió,0d*
abrir,abrió,0d*
eximir,eximió,0d*
esparcir,esparció,0d*
redescribir,redescribió,0d*
aturdir,aturdió,0d*
readquirir,readquirió,0d*
decidir,decidió,0d*
fundir,fundió,0d*
escupir,escupió,0d*
astringir,astringió,0d*
repartir,repartió,0d*
esgrimir,esgrimió,0d*
reabrir,reabrió,0d*
escandir,escandió,0d*
aburrir,aburrió,0d*
inquirir,inquirió,0d*
deglutir,deglutió,0d*
sufrir,sufrió,0d*
adquirir,adquirió,0d*
parir,parió,0d*
codirigir,codirigió,0d*
asumir,asumió,0d*
desnutrir,desnutrió,0d*
resarcir,resarció,0d*
fungir,fungió,0d*
proscribir,proscribió,0d*
retundir,retundió,0d*
iludir,iludió,0d*
rostir,rostió,0d*
curtir,curtió,0d*
frangir,frangió,0d*
punir,punió,0d*
finir,finió,0d*
compungir,compungió,0d*
transmitir,transmitió,0d*
pulir,pulió,0d*
recudir,recudió,0d*
apurrir,apurrió,0d*
debatir,debatió,0d*
omitir,omitió,0d*
subsistir,subsistió,0d*
tañer,tañó,1a
retañer,retañó,1a
astriñir,astriñó,1b
gañir,gañó,1b
juñir,juñó,1b
tañir,tañó,1b
bruñir,bruñó,1b
sobreseer,sobreseyó,2a
peer,peyó,2a
creer,creyó,2a
desposeer,desposeyó,2a
leer,leyó,2a
caer,cayó,2a
roer,royó,2a
raer,rayó,2a
construir,construyó,2b
atribuir,atribuyó,2b
preconstituir,preconstituyó,2b
instruir,instruyó,2b
abluir,abluyó,2b
intuir,intuyó,2b
desobstruir,desobstruyó,2b
substituir,substituyó,2b
reconstruir,reconstruyó,2b
prostituir,prostituyó,2b
distribuir,distribuyó,2b
fluir,fluyó,2b
protruir,protruyó,2b
sustituir,sustituyó,2b
instituir,instituyó,2b
retribuir,retribuyó,2b
restituir,restituyó,2b
imbuir,imbuyó,2b
capitidisminuir,capitidisminuyó,2b
estatuir,estatuyó,2b
extinguir,extinguió,2c*
distinguir,distinguió,2c*
delinquir,delinquió,2d*
chasquir,chasquió,2d*
derelinquir,derelinquió,2d*
proferir,profirió,3a
malherir,malhirió,3a
concebir,concibió,3a
adherir,adhirió,3a
interferir,interfirió,3a
reelegir,reeligió,3a
requerir,requirió,3a
recolegir,recoligió,3a
transferir,transfirió,3a
diferir,difirió,3a
gemir,gimió,3a
pedir,pidió,3a
corregir,corrigió,3a
conferir,confirió,3a
ingerir,ingirió,3a
preconcebir,preconcibió,3a
referir,refirió,3a
trasferir,trasfirió,3a
preterir,pretirió,3a
inferir,infirió,3a
vestir,vistió,3b
envestir,envistió,3b
servir,sirvió,3b
reconvertir,reconvirtió,3b
investir,invistió,3b
sentir,sintió,3b
travestir,travistió,3b
controvertir,controvirtió,3b
interconvertir,interconvirtió,3b
asentir,asintió,3b
rendir,rindió,3b
embestir,embistió,3b
mentir,mintió,3b
henchir,hinchió,3c
dehenchir,dehinchió,3c
seguir,siguió,3d
perseguir,persiguió,3d
deseguir,desiguió,3d
conseguir,consiguió,3d
estreñir,estriñó,3e
receñir,reciñó,3e
heñir,hiñó,3e
desceñir,desciñó,3e
ceñir,ciñó,3e
